5AP01967,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/26
5AP01968,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/04/26
5AP01971,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/04/26
5AP01972,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/04/26
5AP01973,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        13,                    ,2023/04/26
5AP01975,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        14,                    ,2023/04/26
5AP01978,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         5,                    ,2023/04/26
5AP01980,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/26
5AP01983,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/04/13
5AP01985,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/18
5AP01986,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/20
5AP01987,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/24
5AP01988,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         6,                    ,2023/04/24
5AP01990,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         6,                    ,2023/05/02
5AP01992,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         6,                    ,2023/05/05
5AP01995,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        20,                    ,2023/05/11
5AP02000,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/05/23
5AP02002,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/05/24
5AP02005,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         7,                    ,2023/06/01
5AP02006,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        15,                    ,2023/06/05
5AP02009,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        20,                    ,2023/06/08
5AP02010,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/06/13
5AP02012,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/06/16
5AP02016,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         6,                    ,2023/06/20
5AP02017,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         8,                    ,2023/06/23
5AP02018,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/06/27
5AP02020,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        10,                    ,2023/07/01
5AP02024,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         4,                    ,2023/07/07
5AP02025,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,        20,                    ,2023/07/10
5AP02026,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/07/13
5AP02028,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/07/21
